id,exerciseId,ratingELO
49357,2058,115
49343,2059,135
49372,2060,136
49358,2061,111
51008,2062,158
63733,2063,131
64875,2064,129
47837,2065,129
64748,2066,151
66163,2067,132
66083,2068,137
66132,2069,115
50721,2070,101
56631,2071,171
48050,2072,127
57344,2073,145
63691,2074,126
57345,2075,144
48193,2076,130
57393,2077,107
64654,2078,115
50783,2079,125
66133,2080,121
66152,2081,127
57296,2082,166
64430,2083,128
64408,2084,121
65590,2085,148
66110,2086,137
66153,2087,93
66154,2088,104
66010,2089,111
65489,2090,81
63976,2091,137
49510,2092,163
48584,2093,130
64018,2094,132
61884,2095,119
66134,2096,152
65752,2097,138
66111,2098,123
66135,2099,85
64655,2100,99
51029,2101,133
66136,2102,114
66073,2103,114
66074,2104,152
65921,2105,115
61872,2106,123
64749,2107,82
48718,2108,112
64661,2109,78
50405,2110,144
63214,2111,135
63965,2112,122
64656,2113,118
66137,2114,121
66138,2115,143
65940,2116,122
65966,2117,119
65382,2118,57
65411,2119,69
64137,2120,120
64138,2121,131
48700,2122,119
50798,2123,135
64434,2124,118
64647,2125,103
65745,2126,107
64899,2127,116
64021,2128,119
50406,2129,106
65593,2130,120
66155,2131,88
65942,2132,81
48017,2133,146
57329,2134,121
63821,2135,111
57330,2136,83
63127,2137,60
62659,2138,187
65141,2139,79
64218,2140,143
64040,2141,141
64413,2142,152
66164,2143,133
48671,2144,138
66114,2145,125
63967,2146,149
60413,2147,183
66185,2148,136
65967,2149,97
65385,2150,67
63693,2151,114
66140,2152,110
66088,2153,130
65968,2154,127
65755,2155,114
65240,2156,115
65756,2157,96
65389,2158,142
65490,2159,147
65414,2160,91
57395,2163,200
53555,2166,202
57364,2167,200
57365,2169,200
61885,2170,200
53557,2171,201
57366,2173,200
57314,2174,200
53559,2181,202
53558,2183,203
53560,2186,200
57367,2188,201
57376,2190,201
57377,2191,200
57378,2192,200
53563,2194,200
53564,2196,201
61874,2199,201
53565,2201,202
57346,2203,200
57316,2204,200
53568,2205,201
192,2210,201
53569,2213,208
57317,2215,203
57379,2217,201
53573,2218,201
51055,2221,215
57396,2222,200
53572,2223,202
53574,2225,201
50715,2226,194
57347,2228,202
51049,2229,175
50840,2230,171
53576,2233,202
53577,2234,203
57397,2235,200
53578,2236,202
61862,2278,205
61863,2294,204
56283,2303,183
61864,2304,203
53583,2315,191
63459,2318,125
53585,2319,201
63408,2320,148
63331,2321,140
63460,2322,176
53589,2323,187
60371,2324,194
60681,2326,208
53592,2328,199
53594,2335,178
58265,2338,200
50986,2343,210
56469,2346,197
60407,2353,184
56266,2357,183
53598,2361,186
54255,2362,180
56200,2363,184
58985,2364,176
60925,2365,198
58266,2366,201
59001,2369,180
53605,2371,183
59014,2372,158
53607,2374,174
53608,2381,174
56515,2382,185
56495,2383,177
58514,2384,178
53612,2385,152
60446,2386,183
56340,2413,191
60359,2419,184
53617,2421,185
63756,2436,151
53618,2437,198
59015,2438,194
53620,2439,169
60907,2440,178
53622,2441,198
53623,2442,192
59903,2478,213
63294,2479,190
63219,2481,201
53626,2484,153
53625,2496,196
53627,2497,177
58499,2498,176
58534,2499,171
58500,2500,180
53631,2501,182
53635,2502,112
50826,2503,98
50735,2504,130
45569,2505,90
50974,2506,79
26553,2507,192
49592,2508,128
50776,2509,165
64044,2510,150
43427,2511,127
49525,2512,150
65433,2513,127
62595,2514,153
65251,2515,159
64664,2516,167
64872,2517,152
66096,2518,148
66097,2519,152
47629,2520,136
53642,2521,121
66171,2522,104
65951,2523,102
61707,2524,120
65132,2525,85
65409,2526,121
51066,3055,129
29404,3056,198
29927,3057,199
66046,3058,148
50882,3059,139
53648,3060,184
65894,3061,159
65508,3062,138
49591,3063,114
62776,3064,139
51022,3065,151
50893,3066,139
48738,3067,122
64480,3068,137
50898,3069,155
50894,3070,161
50751,3071,144
65994,3072,112
50886,3073,81
64397,3074,132
49996,3075,135
64418,3076,137
66147,3077,127
47521,3078,139
48686,3079,147
46391,3080,126
50861,3081,135
65133,3082,79
64274,3083,130
64925,3084,142
60357,3085,188
62642,3086,171
60654,3087,177
58881,3088,188
64879,3089,191
60516,3090,192
64084,3091,189
59952,3092,181
61174,3093,179
58549,3094,175
60399,3095,184
58498,3096,185
56323,3097,187
58882,3098,189
60906,3099,164
60473,3100,193
60759,3101,185
52395,3102,136
58550,3103,180
53678,3181,202
53680,3189,202
53681,3234,202
53682,3290,201
53683,3318,201
53684,3449,201
53686,3493,201
53685,3589,202
53687,3593,201
31390,3745,200
53715,5000,199
31303,5015,200
31304,5028,195
65255,5562,142
64295,5563,147
50760,5564,152
51016,5565,151
51011,5566,127
49600,5567,156
65779,5568,135
64923,5569,107
48491,5570,161
31517,6883,200
31325,6887,200
31447,6889,195
31349,6901,195
31372,6910,196
31438,6912,200
31495,6917,195
50899,6923,165
50900,6924,144
60839,6926,194
50902,6928,142
60382,6929,199
49782,6930,132
50904,6931,127
66051,6932,156
31343,6955,200
31344,6957,200
31345,6959,196
31313,6960,200
53695,7069,167
53696,7070,165
53697,7071,172
53698,7072,167
53700,7073,162
63447,7074,144
53701,7075,180
53702,7076,153
53703,7077,171
53704,7078,153
63314,7079,134
53707,7080,175
58680,7081,166
63347,7082,155
58742,7083,158
63276,7084,170
63237,7085,158
53712,7086,180
53711,7087,173
63448,7088,121
63238,7089,136
51018,7091,192
50792,7092,164
47528,7093,163
64058,7094,145
64279,7095,135
64881,7096,173
62975,7098,161
62728,7099,176
60095,7100,144
62555,7101,155
62169,7102,163
61480,7103,188
62556,7104,150
64880,7105,154
62643,7106,123
62609,7107,170
60819,7108,158
59719,7109,168
62963,7110,173
62628,7111,151
62730,7112,162
62747,7113,183
61281,7114,142
62748,7115,161
61282,7116,146
62764,7117,134
61300,7118,177
62774,7119,157
61232,7120,186
64042,7121,150
62572,7122,160
62661,7123,167
50865,7124,125
32149,7125,200
64718,7126,138
66182,7127,156
61962,7128,176
63850,7129,155
64242,7130,168
65899,7131,130
63244,7132,158
66021,7133,165
53755,7134,115
65764,7135,138
65532,7136,164
48202,7137,158
66022,7138,154
51070,7139,158
65423,7140,181
65287,7141,160
50862,7142,149
64401,7143,173
65999,7144,113
50533,7145,165
64652,7146,142
62035,7147,150
65388,7148,112
66131,7149,143
50399,7150,154
66000,7151,72
66001,7152,128
65410,7153,123
64659,7154,147
63044,7155,164
48190,7156,151
66107,7157,134
66150,7158,132
64765,7159,117
65402,7160,114
65893,7163,126
49651,7166,186
51031,7167,186
48665,7168,193
43873,7169,165
49736,7170,179
50820,7171,166
49728,7172,155
43974,7173,170
49719,7174,155
51038,7175,218
50931,7176,160
50922,7177,159
49687,7178,147
49654,7179,150
50517,7181,175
46952,7182,149
49740,7183,152
50739,7184,142
50744,7185,216
35924,7186,175
51039,7187,163
51040,7188,165
49658,7189,144
51033,7190,171
50908,7191,158
49644,7192,162
50909,7194,139
50800,7196,184
34447,7197,197
53776,7198,168
49303,7199,197
49238,7200,186
50977,7201,200
47432,7202,201
49294,7204,192
49072,7205,189
49304,7206,193
49283,7207,200
49066,7209,170
48436,7210,203
48573,7211,176
48954,7212,163
48776,7218,163
47960,7219,188
49295,7223,197
49209,7224,185
48171,7225,205
47433,7226,200
49305,7228,200
49127,7229,193
49240,7230,191
49296,7231,195
49058,7233,160
48705,7234,194
50978,7235,183
48589,7236,180
48980,7237,138
48683,7239,167
49723,7410,199
47035,7411,191
51034,7412,189
49701,7413,185
48866,7414,190
51041,7416,177
49729,7417,198
