id,exerciseId,ratingELO
64182,1842,198
65784,1843,192
63758,1844,198
64388,1845,168
66023,1846,197
65916,1847,186
65840,1848,194
66183,1849,178
65253,1850,177
65767,1851,195
65445,1852,199
65785,1853,198
64721,1854,195
50877,1855,196
61611,1856,179
46697,1857,190
66054,1858,205
63937,1859,170
65273,1860,196
59355,1861,205
65982,1862,191
62989,1863,202
64175,1864,200
65841,1865,187
66055,1866,203
49558,1867,190
65842,1868,181
66024,1869,203
66025,1870,191
61813,1871,197
65259,1872,187
63916,1873,201
64201,1874,181
48797,1875,194
66184,1876,185
65931,1877,194
64376,1878,192
64389,1879,198
64869,1880,190
64228,1881,200
64164,1882,185
64870,1883,198
64178,1884,193
63864,1885,183
64742,1886,179
65505,1887,194
51025,1888,179
64166,1889,203
50786,1890,202
60846,1891,197
47437,1892,201
46115,1893,191
64391,1894,180
49479,1895,178
49462,1896,157
66026,1897,195
63623,1898,196
50858,1899,199
65786,1900,195
65602,1901,197
65787,1902,191
63958,1903,199
63918,1905,198
65918,1906,196
64377,1907,185
64378,1908,204
49485,1909,184
65932,1910,180
65919,1911,194
65504,1912,191
64075,1913,198
65788,1914,196
66056,1915,193
63865,1916,197
64029,1917,166
65830,1918,197
65846,1919,193
65983,1920,176
65789,1921,171
65531,1922,201
65890,1923,200
50835,1924,202
47413,1925,164
48698,1926,147
61716,1927,189
49076,1928,173
49617,1929,176
47530,1930,148
63812,1931,186
64649,1932,190
29426,1933,198
29167,1934,196
31454,1935,197
29302,1936,179
28339,1937,159
29376,1938,133
31322,1939,163
31265,1940,202
31493,1941,203
31071,1942,159
50879,1943,201
65582,1944,186
64911,1945,184
50411,1946,202
47623,1947,158
49298,1948,137
49551,1949,151
46303,1950,167
49959,1951,201
49508,1952,181
65953,1953,174
65114,1954,200
65920,1955,188
63747,1956,194
46125,1957,186
63389,1958,195
64631,1959,203
65583,1960,188
64658,1961,198
64105,1962,196
51026,1963,172
64106,1964,184
64051,1965,188
66099,1966,176
66100,1967,196
66101,1968,182
66124,1969,181
50210,1970,195
65486,1971,184
49446,1972,174
